id,artista,link,titulo,letra
0,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/follow-me-ft-rina-sawayama.html,Follow Me (Ft. Rina Sawayama),"Have you ever felt like, like you're not enough?Have you ever broken down, couldn't get up?Me, I got bad days, gets a little toughBut I got a secret, babe, I dance it offAh, ah, ahHe asked me how I move like thisAh, ah, ahWhere did you get confidence like this?Ah, ah, ahI said ""Wouldn't you like to know? ""Ah, ah, ahFollow me and I'll show you how I doIf you wanna know what it takesTo throw all your troubles awayIf you wanna set yourself freeFollow, followFollow me (Me)Back off the wall, work all your anglesWalk cross the floor, Naomi CampbеllYou serving face like supеrmodelDance with me, sway, follow me, let's goFollow meHave you ever felt like, like you're not enough?Have you ever broken down, couldn't get up?Me, I got bad days, gets a little toughBut I got a secret, babe, I'll show you how I doIf you wanna know what it takesTo throw all your troubles awayIf you wanna set yourself freeFollow, follow (Me, ah)Follow meBack off the wall, work all your anglesWalk cross the floor, Naomi CampbellYou serving face like supermodelDance with me, sway, follow me, let's goFollow me, follow meFollow me, follow me, follow meFollow me, follow me (Come with me, dance with me, sway)Follow me, follow meFollow me, follow meFollow me, follow me, follow meBack off wall, work all anglesIf you wanna know what it takesTo throw all your troubles away (Troubles away)If you wanna set yourself freeFollow, follow (Me, ah)Follow meBack off the wall, work all your anglesWalk cross the floor, Naomi CampbellYou serving face like supermodelDance with me, sway, follow me, let's goFollow me, follow me"
1,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/parabens-part-psirico.html,Parabéns (Part. Psirico),Hoje é um dia especialTe dou um presente você não viu nada igualOlha aqui menino quantos anos você temSei que cê tá lindo e merece parabénsEu digoHumm o clima tá gostosoHumm eu vou comer seu boloHumm seu pedaço vem primeiroTem bolo pra tu e também pro baile inteiroRa ra ra tim bumÉ big big big big big o seu bumbumTe dou parabéns quando para a bundaTe dou parabéns quando para a bundaTe dou parabéns quando para a bundaTe dou parabéns quando para a bundaHoje é um dia especialTe dou um presente você não viu nada igualOlha aqui menina quantos anos você temSei que cê tá linda e merece parabénsEu digoHumm o clima tá gostosoHumm eu vou comer seu boloHumm seu pedaço vem primeiroTem bolo pra tu e também pro baile inteiroRa ra ra tim bumÉ big big big big big o seu bumbumTe dou parabéns quando para a bundaTe dou parabéns quando para a bundaTe dou parabéns quando para a bundaTe dou parabéns quando para a bunda
2,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/indestrutivel.html,Indestrutível,"Eu sei que tudo vai ficar bemE as minhas lagrimas vão secarEu sei que tudo vai ficar bemE essas feridas vão se curarO que me impede de sorrirÉ tudo que eu já perdiEu fechei os olhos e pediPara quando abrir a dor não estar aqui, masSei que não é fácil assim, masVou aprender no fimMinhas mãos se unem para queTirem do meu peito o que é de ruime vou dizendoTudo vai ficar bemE as minhas lagrimas vão secarTudo vai ficar bemE essas feridas vão se curarEu sei que tudo vai ficar bemTudo vai ficar bemO que me impede de sorrirÉ tudo que eu já perdiEu fechei os olhos e pediPara quando abrir a dor não estar aqui, masSei que não é fácil assim, masVou aprender no fimMinhas mãos se unem para queTirem do meu peito o que é de ruime vou dizendoTudo vai ficar bemE as minhas lagrimas vão secarTudo vai ficar bemE essas feridas vão se curarE se recebo dor, te devolvo amorSe recebo dor, te devolvo amorE quanto mais dor recebomais percebo que eu souIndestrutível."
3,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/amor-de-que.html,Amor de Que,"O que os olhos não veem o coração não senteEu tenho um jeito de amar bem diferenteO que você não vê, é que as outras mentemEu tô dizendo a verdade na tua frenteVeja bem, não é maldadeÉ que tem tanto homem bonito na cidadeE eu tô na flor da idadeMelhor se arrepender do que passar vontadeEu espero que você me entendaQue o meu amorÉ amor de quengaEu não quero que você se prendaNo meu amorAmor de quengaEu sentoTu senteEu sentoTu senteEu sentoTu senteAssim é a genteEu sentoTu senteEu sentoTu senteEu sentoTu senteAssim é a gente"
4,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/ama-sofre-chora.html,Ama Sofre Chora,Você diz que meu amor não é pra casarAinda ri desse meu sonho de ir pro altarMinha fama te incomodaE essa bunda é tão famosaQuem é você pra vir aqui me humilharSua boca já conhece o meu batomSeu cheiro não sai do meu edredomSe você não quiser me assumirEu vou contar pra todo mundo ouvirPiranha também amaPiranha também choraPiranha também sofre se você vai emboraPiranha também amaPiranha também choraPiranha também sofre se você ignoraPiranha também choraSua boca já conhece o meu batomSeu cheiro não sai do meu edredomSe você não quiser me assumirEu vou contar pra todo mundo ouvirPiranha também amaPiranha também choraPiranha também sofre se você vai emboraPiranha também amaPiranha também choraPiranha também sofre se você ignoraPiranha também amaPiranha também choraPiranha também sofre se você vai emboraPiranha também amaPiranha também choraPiranha também sofre se você ignoraPiranha também choraPiranha também chora
5,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/k-o.html,K.O.,"Seu amor me pegouCê bateu tão forte com o teu amorNocauteou, me tonteouVeio à tona, fui à lona, foi K.O.Sempre fui guerreira, mas foi de primeiraMe vi indefesa, coração perdeu a luta, simAdeus bebedeira, vida de solteiraQuero sexta-feiraEstar contigo na minha cama juntos, coladinMe beija a noite inteiraSexy na banheiraVou te dar canseiraQuero do inicio até o fimE fixa o olhar, fico a te olharVou te falar, fui à lona com o seuSeu amor me pegouCê bateu tão forte com o teu amorNocauteou, me tonteouVeio à tona, fui à lona, foi K.O.Seu amor, me pegouCê bateu tão forte com o teu amorNocauteou, me tonteouVeio à tona, fui à lona, foi K.O.Sempre fui guerreira, mas foi de primeiraMe vi indefesa, coração perdeu a luta, simAdeus bebedeira, vida de solteiraQuero sexta-feiraEstar contigo na minha cama juntos, coladinMe beija a noite inteiraSexy na banheiraVou te dar canseiraQuero do inicio até o fimE fixa o olhar, fico a te olharVou te falar, fui à lona com o seuSeu amor me pegouCê bateu tão forte com o teu amorNocauteou, me tonteouVeio à tona, fui à lona, foi K.O.Seu amor me pegouCê bateu tão forte com o teu amorNocauteou, me tonteouVeio à tona, fui à lona, foi K.O.Eu me entreguei e decretei K.O.Eu me entreguei e decretei K.O."
6,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/triste-com-t.html,Triste com T,"Vittar!Linda de calcinha pra te seduzirLingerie vermelha e um vinho do bomToda suadinha e você gosta assimDeixo sua mente naquele frissonE cadê você que não está aqui?Duas da manhã e eu na solidãoMadrugada e eu botei pra repetirAquele ao vivo da marromVocê me deixou triste, triste com tesãoArrombou as portas do meu coraçãoVocê me deixou triste, triste com tesãoComo é que foi capaz de me deixar na mão?Você me deixou(Hoje eu tô com tesão)(Hoje eu tô com tesão)Chorei (Hoje eu tô com tesão, vem cá mozão)Você me deixou(Hoje eu tô com tesão)(Hoje eu tô com tesão)Chorei (Hoje eu tô com tesão, vem cá mozão)Linda de calcinha pra te seduzirLingerie vermelha e um vinho do bomToda suadinha e você gosta assimDeixo sua mente naquele frissonE cadê você que não está aqui?Duas da manhã e eu na solidãoMadrugada e eu botei pra repetirAquele ao vivo da marromVocê me deixou triste, triste com tesãoArrombou as portas do meu coraçãoVocê me deixou triste, triste com tesãoComo é que foi capaz de me deixar na mão?Você me deixou(Hoje eu tô com tesão)(Hoje eu tô com tesão)Chorei (Hoje eu tô com tesão, vem cá mozão)Você me deixou(Hoje eu tô com tesão)(Hoje eu tô com tesão)Chorei (Hoje eu tô com tesão, vem cá mozão)Você me deixou(Hoje eu tô com tesão)(Hoje eu tô com tesão)Chorei (Hoje eu tô com tesão, vem cá mozão)Você me deixou(Hoje eu tô com tesão)(Hoje eu tô com tesão)Chorei (Hoje eu tô com tesão, vem cá mozão)"
7,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/open-bar.html,Open Bar,"Cê duvidou do meu amor, fez chorarme fez sofrerMe enganou, me machucouMas passou, não quero saber de vocêEm outra vibe eu tôVou sair, vou pro open barOlha lá, quem chegouÉ o meu Dj, vou me acabarDj, toca o somNão quero saber mais de ninguémDj, toca o somTô ficando louca e cê tambémDj, toca o somNão quero saber mais de ninguémDj, toca o somTô ficando louca e cê tambémFoi demais, o teu amorFoi tão falso que quebrouO coração doeu demaisTô de boa, hoje tenho outro rapazEm outra vibe eu tôVou sair, vou pro open barOlha lá, quem chegouÉ meu Dj, vou me acabarDj, toca o somNão quero saber mais de ninguémDj, toca o somTô ficando louca e cê tambémDj, toca o somNão quero saber mais de ninguémDj, toca o somTô ficando louca e cê tambémTô ficando louca e cê tambémTô ficando louca e cê tambémDj, toca o somNão quero saber mais de ninguémDj, toca o somTô ficando louca e cê tambémDj, toca o somNão quero saber mais de ninguémDj, toca o somTô ficando louca e cê também"
8,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/corpo-sensual-part-mateus-carrilho.html,Corpo Sensual (part. Mateus Carrilho),"Mandando verNo vício da batidaQuerendo se envolverO estilo diferente que prende e dá prazerEu sei que logo sente, te faz enlouquecerFaço ferver (2x)Vai passar malViro sua mente com meu corpo sensualMinha boca quenteVem, não tem igualTá todo carente num pedido informalVai passar malVai passar malViro sua mente com meu corpo sensualMinha boca quenteVem, não tem igualTá todo carente num pedido informalVai passar mal""Part.Mateus Carrilho""Mandando verNo vício da batidaQuerendo se envolverO estilo diferente que prende e dá prazerEu sei que logo sente, te faço enlouquecerFaço ferver (2x)Vai passar malViro sua mente com meu corpo sensualMinha boca quenteVem, não tem igualTá todo carente num pedido informalVai passar malVai passar malViro sua mente com meu corpo sensualMinha boca quenteVem, não tem igualTá todo carente num pedido informalVai passar mal"
9,Pabllo Vittar,https://www.vagalume.com.br/pabllo-vittar/rajadao.html,Rajadão,"A previsão do tempo diz que o céu fechouO poder da vitória vai curar a dorO temporal agora vai cair em mimA chuva da vitória vai reinar no fimE quem caiu vai levantar, o povo vai vencerO sofrimento acabar e o amor vai crescerInimigos vão cair com ao som desse trovãoLevanta a mão pro alto e sente o rajadãoLevanta a mão pro alto e sente o rajadãoA previsão do tempo diz que o céu fechouO poder da vitória vai curar a dorO temporal agora vai cair em mimA chuva da vitória vai reinar no fimE quem caiu vai levantar, o povo vai vencerO sofrimento acabar e o amor vai crescerInimigos vão cair com ao som desse trovãoLevanta a mão pro alto e sente o rajadãoLevanta a mão pro alto e sente o rajadão"
